downtime_id,machine_id,date,downtime_category,duration_hours,downtime_cost,shift_affected,was_scheduled,impact_description
DT-000032,MCH-001,2025-06-12,Planned Maintenance,2.0,51.05,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000033,MCH-001,2024-07-11,Planned Maintenance,1.57,39.98,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000034,MCH-001,2025-10-14,Planned Maintenance,0.71,18.02,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000035,MCH-001,2025-09-25,Planned Maintenance,0.99,25.16,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000036,MCH-001,2025-12-09,Planned Maintenance,1.6,40.7,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000037,MCH-001,2025-09-04,Planned Maintenance,1.04,26.42,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000038,MCH-001,2024-04-25,Planned Maintenance,1.69,43.02,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000039,MCH-001,2024-10-21,Planned Maintenance,0.52,13.38,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000040,MCH-001,2024-02-28,Planned Maintenance,1.06,26.95,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000041,MCH-001,2024-01-22,Planned Maintenance,1.27,32.49,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000042,MCH-001,2025-08-22,Planned Maintenance,1.66,42.31,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000043,MCH-001,2024-02-12,Planned Maintenance,1.73,44.09,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000044,MCH-001,2024-02-13,Planned Maintenance,1.29,32.84,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000045,MCH-001,2024-10-04,Unplanned Breakdown,2.89,187.18,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000046,MCH-001,2024-05-22,Unplanned Breakdown,2.27,306.5,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000047,MCH-001,2024-01-05,Unplanned Breakdown,3.82,420.27,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000048,MCH-001,2024-09-16,Unplanned Breakdown,1.35,204.49,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000049,MCH-001,2025-05-20,Unplanned Breakdown,2.7,279.47,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000050,MCH-001,2024-02-08,Unplanned Breakdown,2.04,263.8,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000051,MCH-001,2024-08-22,Unplanned Breakdown,4.49,277.14,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000052,MCH-001,2024-07-16,Unplanned Breakdown,4.54,247.4,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000053,MCH-001,2024-04-04,Unplanned Breakdown,2.58,342.26,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000054,MCH-001,2024-10-15,Unplanned Breakdown,2.39,329.2,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000055,MCH-001,2024-03-06,Unplanned Breakdown,2.65,367.7,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000056,MCH-001,2025-12-30,Unplanned Breakdown,3.44,252.69,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000057,MCH-001,2025-08-25,Unplanned Breakdown,0.18,251.04,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000058,MCH-001,2024-08-29,Unplanned Breakdown,1.83,117.54,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000059,MCH-001,2024-10-31,Unplanned Breakdown,2.99,205.9,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000060,MCH-001,2025-05-13,Unplanned Breakdown,3.7,368.8,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000061,MCH-001,2024-09-05,Unplanned Breakdown,2.51,363.12,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000062,MCH-001,2025-09-04,Unplanned Breakdown,1.87,294.86,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000063,MCH-001,2024-08-23,Unplanned Breakdown,1.71,297.31,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000064,MCH-001,2024-07-05,Unplanned Breakdown,2.79,187.5,Night (10PM-6AM),False,Emergency repair required - jobs delayed
DT-000065,MCH-001,2025-09-09,Unplanned Breakdown,2.11,387.86,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000066,MCH-001,2025-07-23,Unplanned Breakdown,3.78,393.89,Afternoon (2PM-10PM),False,Emergency repair required - jobs delayed
DT-000067,MCH-001,2024-07-05,Unplanned Breakdown,2.3,385.9,Morning (6AM-2PM),False,Emergency repair required - jobs delayed
DT-000068,MCH-001,2025-11-14,Tooling Change,0.28,7.14,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000069,MCH-001,2025-02-11,Tooling Change,0.29,7.32,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000070,MCH-001,2024-08-05,Tooling Change,0.19,4.82,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000071,MCH-001,2025-11-25,Tooling Change,0.34,8.57,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000072,MCH-001,2024-02-29,Tooling Change,0.24,6.07,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000073,MCH-001,2025-05-06,Tooling Change,0.36,9.28,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000074,MCH-001,2025-12-05,Tooling Change,0.18,4.47,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000075,MCH-001,2025-02-10,Tooling Change,0.32,8.03,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000076,MCH-001,2025-03-20,Tooling Change,0.29,7.5,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000077,MCH-001,2025-01-09,Tooling Change,0.42,10.71,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000078,MCH-001,2025-09-16,Tooling Change,0.31,7.85,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000079,MCH-001,2024-07-30,Tooling Change,0.41,10.35,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000080,MCH-001,2025-02-11,Tooling Change,0.32,8.21,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000081,MCH-001,2025-12-18,Tooling Change,0.6,15.35,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000082,MCH-001,2025-12-05,Tooling Change,0.31,7.85,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000083,MCH-001,2025-06-17,Tooling Change,0.29,7.5,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000084,MCH-001,2024-12-06,Tooling Change,0.39,10.0,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000085,MCH-001,2025-05-12,Tooling Change,0.49,12.5,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000086,MCH-001,2025-04-23,Tooling Change,0.28,7.14,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000087,MCH-001,2025-10-01,Tooling Change,0.38,9.64,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000088,MCH-001,2025-10-06,Tooling Change,0.24,6.24,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000089,MCH-001,2024-07-12,Tooling Change,0.5,12.67,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000090,MCH-001,2025-04-09,Tooling Change,0.26,6.6,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000091,MCH-001,2024-10-23,Tooling Change,0.44,11.24,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000092,MCH-001,2025-05-30,Tooling Change,0.27,6.78,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000093,MCH-001,2024-01-22,Tooling Change,0.51,13.03,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000094,MCH-001,2025-03-20,Tooling Change,0.18,4.47,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000095,MCH-001,2024-10-07,Tooling Change,0.27,6.96,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000096,MCH-001,2025-09-19,Tooling Change,0.42,10.71,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000097,MCH-001,2024-01-04,Tooling Change,0.45,11.6,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000098,MCH-001,2024-11-19,Tooling Change,0.22,5.71,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000099,MCH-001,2025-02-13,Tooling Change,0.34,8.57,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000100,MCH-001,2024-03-26,Tooling Change,0.45,11.6,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000101,MCH-001,2025-06-02,Tooling Change,0.25,6.43,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000102,MCH-001,2024-10-03,Tooling Change,0.36,9.11,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000103,MCH-001,2025-10-22,Tooling Change,0.27,6.96,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000104,MCH-001,2025-09-17,Tooling Change,0.33,8.39,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000105,MCH-001,2024-07-22,Tooling Change,0.26,6.6,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000106,MCH-001,2024-04-15,Tooling Change,0.21,5.36,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000107,MCH-001,2025-02-13,Tooling Change,0.41,10.53,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000108,MCH-001,2025-09-10,Tooling Change,0.49,12.5,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000109,MCH-001,2025-06-24,Tooling Change,0.23,5.89,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000110,MCH-001,2025-04-23,Tooling Change,0.48,12.14,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000111,MCH-001,2025-01-27,Tooling Change,0.32,8.21,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000112,MCH-001,2025-11-17,Tooling Change,0.38,9.82,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000113,MCH-001,2025-03-31,Tooling Change,0.35,8.92,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000114,MCH-001,2025-07-02,Tooling Change,0.42,10.71,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000115,MCH-001,2024-07-12,Tooling Change,0.24,6.24,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000116,MCH-001,2024-02-08,Tooling Change,0.45,11.6,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000117,MCH-001,2024-09-05,Tooling Change,0.23,5.89,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000118,MCH-001,2024-07-10,Tooling Change,0.29,7.5,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000119,MCH-001,2025-03-27,Tooling Change,0.18,4.47,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000120,MCH-001,2025-09-05,Tooling Change,0.35,8.92,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000121,MCH-001,2025-10-31,Tooling Change,0.39,10.0,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000122,MCH-001,2025-03-05,Tooling Change,0.24,6.07,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000123,MCH-001,2024-02-28,Tooling Change,0.36,9.11,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000124,MCH-001,2024-07-29,Tooling Change,0.26,6.6,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000125,MCH-001,2024-09-03,Tooling Change,0.46,11.78,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000126,MCH-001,2025-12-24,Tooling Change,0.38,9.82,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000127,MCH-001,2024-11-13,Tooling Change,0.48,12.31,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000128,MCH-001,2025-02-12,Tooling Change,0.51,13.03,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000129,MCH-001,2025-05-27,Tooling Change,0.18,4.47,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000130,MCH-001,2024-12-31,Tooling Change,0.45,11.6,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000131,MCH-001,2025-02-06,Tooling Change,0.24,6.24,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000132,MCH-001,2024-04-26,Tooling Change,0.34,8.57,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000133,MCH-001,2024-05-27,Tooling Change,0.3,7.67,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000134,MCH-001,2024-01-02,Tooling Change,0.34,8.74,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000135,MCH-001,2024-12-05,Tooling Change,0.52,13.21,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000136,MCH-001,2024-10-30,Tooling Change,0.18,4.47,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000137,MCH-001,2024-08-26,Tooling Change,0.41,10.53,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000138,MCH-001,2025-02-20,Tooling Change,0.32,8.03,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000139,MCH-001,2024-01-01,Tooling Change,0.45,11.42,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000140,MCH-001,2024-06-28,Tooling Change,0.37,9.46,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000141,MCH-001,2024-09-03,Tooling Change,0.41,10.53,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000142,MCH-001,2024-10-17,Tooling Change,0.24,6.07,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000143,MCH-001,2024-04-08,Tooling Change,0.4,10.17,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000144,MCH-001,2025-05-07,Tooling Change,0.3,7.67,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000145,MCH-001,2025-02-05,Tooling Change,0.34,8.57,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000146,MCH-001,2024-03-18,Tooling Change,0.49,12.5,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000147,MCH-001,2025-11-26,Tooling Change,0.41,10.35,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000148,MCH-001,2025-10-21,Tooling Change,0.43,11.07,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000149,MCH-001,2024-03-22,Tooling Change,0.4,10.17,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000150,MCH-001,2025-06-10,Tooling Change,0.18,4.47,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000151,MCH-001,2024-12-26,Tooling Change,0.34,8.57,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000152,MCH-001,2024-08-20,Tooling Change,0.41,10.35,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000153,MCH-001,2025-08-21,Tooling Change,0.43,11.07,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000154,MCH-001,2025-04-01,Tooling Change,0.27,6.96,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000155,MCH-001,2024-08-22,Tooling Change,0.27,6.96,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000156,MCH-001,2025-08-13,Tooling Change,0.18,4.47,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000157,MCH-001,2024-08-02,Tooling Change,0.36,9.28,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000158,MCH-001,2025-06-23,Tooling Change,0.34,8.74,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000159,MCH-001,2025-09-08,Tooling Change,0.35,8.92,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000160,MCH-001,2024-06-21,Tooling Change,0.38,9.64,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000161,MCH-001,2025-10-22,Tooling Change,0.55,14.1,Afternoon (2PM-10PM),False,Tool replacement for new job setup
DT-000162,MCH-001,2025-05-26,Tooling Change,0.2,5.0,Morning (6AM-2PM),False,Tool replacement for new job setup
DT-000163,MCH-001,2024-02-15,Tooling Change,0.46,11.78,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000164,MCH-001,2024-02-16,Tooling Change,0.22,5.54,Night (10PM-6AM),False,Tool replacement for new job setup
DT-000165,MCH-001,2024-02-12,Material Shortage,2.95,75.33,Morning (6AM-2PM),False,Waiting for material delivery
DT-000166,MCH-001,2024-02-02,Material Shortage,4.81,122.63,Morning (6AM-2PM),False,Waiting for material delivery
DT-000167,MCH-001,2024-09-11,Material Shortage,2.67,68.01,Morning (6AM-2PM),False,Waiting for material delivery
DT-000168,MCH-001,2025-01-20,Material Shortage,2.39,60.86,Night (10PM-6AM),False,Waiting for material delivery
DT-000169,MCH-001,2024-10-18,Material Shortage,3.98,101.39,Night (10PM-6AM),False,Waiting for material delivery
DT-000170,MCH-001,2024-07-08,Material Shortage,4.89,124.77,Morning (6AM-2PM),False,Waiting for material delivery
DT-000171,MCH-001,2025-04-16,Material Shortage,4.07,103.7,Morning (6AM-2PM),False,Waiting for material delivery
DT-000172,MCH-001,2024-06-26,Material Shortage,2.73,69.61,Morning (6AM-2PM),False,Waiting for material delivery
DT-000173,MCH-001,2025-02-06,Quality Hold,1.58,40.17,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000174,MCH-001,2025-05-23,Quality Hold,0.89,22.67,Afternoon (2PM-10PM),False,Production paused pending quality investigation
DT-000175,MCH-001,2025-11-04,Quality Hold,1.12,28.56,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000176,MCH-001,2024-01-29,Quality Hold,0.85,21.6,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000177,MCH-001,2024-11-20,Quality Hold,1.41,36.06,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000178,MCH-001,2024-09-20,Quality Hold,0.94,23.92,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000179,MCH-001,2024-04-09,Quality Hold,0.84,21.42,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000180,MCH-001,2024-12-23,Quality Hold,0.71,18.02,Afternoon (2PM-10PM),False,Production paused pending quality investigation
DT-000181,MCH-001,2024-11-15,Quality Hold,1.35,34.45,Afternoon (2PM-10PM),False,Production paused pending quality investigation
DT-000182,MCH-001,2025-02-14,Quality Hold,0.62,15.71,Night (10PM-6AM),False,Production paused pending quality investigation
DT-000183,MCH-001,2024-09-18,Quality Hold,0.66,16.95,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000184,MCH-001,2024-08-07,Quality Hold,1.08,27.49,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000185,MCH-001,2025-07-22,Quality Hold,1.19,30.34,Morning (6AM-2PM),False,Production paused pending quality investigation
DT-000186,MCH-001,2024-11-19,Calibration,0.53,13.57,Morning (6AM-2PM),True,Periodic calibration per quality standard
DT-000187,MCH-001,2024-05-07,Calibration,0.58,14.81,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000188,MCH-001,2025-08-21,Calibration,0.9,22.85,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000189,MCH-001,2025-07-23,Calibration,0.78,19.99,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000190,MCH-001,2024-07-26,Calibration,0.71,18.02,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000191,MCH-001,2024-07-12,Calibration,0.38,9.82,Morning (6AM-2PM),True,Periodic calibration per quality standard
DT-000192,MCH-001,2024-02-02,Calibration,0.62,15.89,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000193,MCH-001,2025-08-11,Calibration,0.94,24.1,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000194,MCH-001,2025-07-16,Calibration,0.93,23.74,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000195,MCH-001,2025-12-22,Calibration,0.69,17.67,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000196,MCH-001,2024-08-23,Calibration,0.66,16.95,Night (10PM-6AM),True,Periodic calibration per quality standard
DT-000197,MCH-001,2025-07-17,Calibration,0.65,16.6,Morning (6AM-2PM),True,Periodic calibration per quality standard
DT-000198,MCH-001,2024-12-25,Calibration,0.95,24.28,Afternoon (2PM-10PM),True,Periodic calibration per quality standard
DT-000199,MCH-002,2025-12-15,Planned Maintenance,1.92,49.08,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000200,MCH-002,2025-06-05,Planned Maintenance,0.92,23.56,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000201,MCH-002,2024-06-03,Planned Maintenance,1.15,29.45,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000202,MCH-002,2025-12-18,Planned Maintenance,1.58,40.17,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000203,MCH-002,2025-07-09,Planned Maintenance,1.34,34.27,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000204,MCH-002,2024-02-27,Planned Maintenance,1.92,48.91,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000205,MCH-002,2024-02-12,Planned Maintenance,1.3,33.02,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000206,MCH-002,2025-01-30,Planned Maintenance,1.05,26.78,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000207,MCH-002,2024-04-26,Planned Maintenance,1.24,31.59,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000208,MCH-002,2024-07-25,Planned Maintenance,1.45,36.95,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000209,MCH-002,2024-05-23,Planned Maintenance,0.5,12.67,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000210,MCH-002,2024-07-02,Planned Maintenance,1.11,28.38,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000211,MCH-002,2024-01-18,Planned Maintenance,1.17,29.81,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000212,MCH-002,2025-07-22,Planned Maintenance,1.84,46.94,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000213,MCH-002,2024-01-22,Planned Maintenance,0.8,20.52,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000214,MCH-002,2025-04-25,Planned Maintenance,1.19,30.34,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000215,MCH-002,2025-04-10,Planned Maintenance,1.15,29.45,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000216,MCH-002,2025-09-01,Planned Maintenance,1.34,34.27,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000217,MCH-002,2024-08-20,Planned Maintenance,1.13,28.73,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000218,MCH-002,2025-06-10,Planned Maintenance,1.23,31.42,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000219,MCH-002,2025-10-24,Planned Maintenance,1.49,38.02,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000220,MCH-002,2024-02-01,Planned Maintenance,0.93,23.74,Night (10PM-6AM),True,Scheduled service - production rerouted
DT-000221,MCH-002,2024-10-02,Planned Maintenance,0.94,24.1,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000222,MCH-002,2024-07-24,Planned Maintenance,2.04,51.94,Morning (6AM-2PM),True,Scheduled service - production rerouted
DT-000223,MCH-002,2025-01-31,Planned Maintenance,1.04,26.59,Afternoon (2PM-10PM),True,Scheduled service - production rerouted
DT-000224,MCH-002,2024-05-14,Planned Maintenance,1.14,29.09,Morning (6AM-2PM),True,Scheduled service - production rerouted
