job_order_id,product_id,product_name,customer_id,order_date,due_date,priority,quantity,status
JOB-00051,PRD-002,Gear Assembly,CUS-007,2024-12-02,2024-12-16,Standard,14,Completed
JOB-00052,PRD-002,Gear Assembly,CUS-001,2024-12-18,2024-12-21,Critical,14,Completed
JOB-00053,PRD-002,Gear Assembly,CUS-005,2025-03-27,2025-04-10,Rush,1,Completed
JOB-00054,PRD-004,Motor Shaft,CUS-004,2025-03-25,2025-04-01,Rush,7,Completed
JOB-00055,PRD-005,Control Panel Frame,CUS-008,2025-03-05,2025-03-19,Standard,1,Completed
JOB-00056,PRD-006,Bearing Cap,CUS-001,2024-04-12,2024-04-19,Rush,7,Completed
JOB-00057,PRD-008,Sensor Bracket,CUS-002,2024-05-22,2024-06-05,Rush,7,Completed
JOB-00058,PRD-004,Motor Shaft,CUS-006,2024-07-08,2024-07-22,Standard,2,Completed
JOB-00059,PRD-002,Gear Assembly,CUS-005,2025-06-12,2025-06-19,Rush,2,Completed
JOB-00060,PRD-003,Pump Housing,CUS-001,2025-03-07,2025-03-21,Standard,14,Completed
JOB-00061,PRD-005,Control Panel Frame,CUS-003,2024-05-28,2024-05-31,Critical,2,Completed
JOB-00062,PRD-005,Control Panel Frame,CUS-003,2024-05-31,2024-06-14,Rush,70,Completed
JOB-00063,PRD-005,Control Panel Frame,CUS-006,2024-10-28,2024-11-11,Standard,14,Completed
JOB-00064,PRD-004,Motor Shaft,CUS-008,2025-01-13,2025-01-20,Rush,7,Completed
JOB-00065,PRD-005,Control Panel Frame,CUS-002,2024-03-13,2024-03-16,Critical,14,Completed
JOB-00066,PRD-007,Manifold Block,CUS-001,2024-03-04,2024-03-07,Critical,1,Completed
JOB-00067,PRD-006,Bearing Cap,CUS-003,2025-01-09,2025-01-16,Rush,70,Completed
JOB-00068,PRD-008,Sensor Bracket,CUS-001,2025-09-03,2025-09-17,Rush,7,Completed
JOB-00069,PRD-002,Gear Assembly,CUS-001,2024-07-31,2024-08-14,Standard,28,Completed
JOB-00070,PRD-006,Bearing Cap,CUS-007,2024-07-30,2024-08-13,Standard,1,Completed
JOB-00071,PRD-003,Pump Housing,CUS-001,2025-06-05,2025-06-19,Standard,7,Completed
JOB-00072,PRD-006,Bearing Cap,CUS-002,2024-12-23,2025-01-06,Standard,7,Completed
JOB-00073,PRD-006,Bearing Cap,CUS-003,2025-08-05,2025-08-12,Rush,70,Completed
JOB-00074,PRD-004,Motor Shaft,CUS-007,2024-09-10,2024-09-17,Rush,14,Completed
JOB-00075,PRD-001,Hydraulic Valve Body,CUS-007,2025-04-21,2025-05-05,Rush,7,Completed
JOB-00076,PRD-004,Motor Shaft,CUS-007,2024-06-03,2024-06-17,Standard,7,Completed
JOB-00077,PRD-001,Hydraulic Valve Body,CUS-004,2024-11-13,2024-11-16,Critical,7,Completed
JOB-00078,PRD-008,Sensor Bracket,CUS-004,2024-11-21,2024-12-05,Standard,14,Completed
JOB-00079,PRD-001,Hydraulic Valve Body,CUS-006,2025-07-24,2025-07-31,Rush,7,Completed
JOB-00080,PRD-005,Control Panel Frame,CUS-006,2025-02-03,2025-02-06,Critical,1,Completed
JOB-00081,PRD-007,Manifold Block,CUS-001,2025-04-18,2025-04-25,Rush,28,Completed
JOB-00082,PRD-002,Gear Assembly,CUS-003,2025-01-08,2025-01-15,Rush,28,Completed
JOB-00083,PRD-005,Control Panel Frame,CUS-006,2025-09-12,2025-09-26,Standard,2,Completed
JOB-00084,PRD-006,Bearing Cap,CUS-007,2024-06-13,2024-06-27,Standard,14,Completed
JOB-00085,PRD-004,Motor Shaft,CUS-001,2025-09-16,2025-09-30,Standard,2,Completed
JOB-00086,PRD-004,Motor Shaft,CUS-006,2024-04-09,2024-04-23,Standard,14,Completed
JOB-00087,PRD-006,Bearing Cap,CUS-005,2024-06-26,2024-07-10,Standard,7,Completed
JOB-00088,PRD-005,Control Panel Frame,CUS-007,2025-04-11,2025-04-18,Rush,14,Completed
JOB-00089,PRD-005,Control Panel Frame,CUS-007,2024-10-01,2024-10-08,Rush,14,Completed
JOB-00090,PRD-007,Manifold Block,CUS-005,2024-09-05,2024-09-12,Rush,28,Completed
JOB-00091,PRD-007,Manifold Block,CUS-005,2024-01-01,2024-01-08,Rush,2,Completed
JOB-00092,PRD-005,Control Panel Frame,CUS-008,2025-04-04,2025-04-18,Rush,70,Completed
JOB-00093,PRD-008,Sensor Bracket,CUS-008,2024-10-31,2024-11-14,Standard,2,Completed
JOB-00094,PRD-003,Pump Housing,CUS-006,2025-02-10,2025-02-17,Rush,1,Completed
JOB-00095,PRD-002,Gear Assembly,CUS-005,2024-12-02,2024-12-09,Rush,14,Completed
JOB-00096,PRD-004,Motor Shaft,CUS-001,2024-07-29,2024-08-05,Rush,7,Completed
JOB-00097,PRD-001,Hydraulic Valve Body,CUS-002,2025-11-11,2025-11-25,Standard,28,Completed
JOB-00098,PRD-008,Sensor Bracket,CUS-007,2024-10-04,2024-10-18,Rush,28,Completed
JOB-00099,PRD-008,Sensor Bracket,CUS-001,2024-07-30,2024-08-13,Rush,7,Completed
JOB-00100,PRD-002,Gear Assembly,CUS-003,2024-11-08,2024-11-15,Rush,70,Completed
JOB-00101,PRD-008,Sensor Bracket,CUS-002,2024-12-23,2025-01-06,Standard,7,Completed
JOB-00102,PRD-008,Sensor Bracket,CUS-006,2025-10-27,2025-11-10,Standard,14,Completed
JOB-00103,PRD-008,Sensor Bracket,CUS-007,2025-12-23,2026-01-06,Rush,7,Completed
JOB-00104,PRD-008,Sensor Bracket,CUS-008,2025-11-11,2025-11-18,Rush,70,Completed
JOB-00105,PRD-005,Control Panel Frame,CUS-008,2025-01-30,2025-02-06,Rush,2,Completed
JOB-00106,PRD-004,Motor Shaft,CUS-005,2024-04-19,2024-05-03,Standard,1,Completed
JOB-00107,PRD-004,Motor Shaft,CUS-002,2025-04-02,2025-04-16,Standard,7,Completed
JOB-00108,PRD-003,Pump Housing,CUS-003,2025-07-02,2025-07-16,Standard,70,Completed
JOB-00109,PRD-004,Motor Shaft,CUS-006,2025-08-06,2025-08-20,Rush,28,Completed
JOB-00110,PRD-008,Sensor Bracket,CUS-007,2024-10-22,2024-11-05,Standard,14,Completed
JOB-00111,PRD-007,Manifold Block,CUS-007,2024-01-29,2024-02-01,Critical,28,Completed
JOB-00112,PRD-008,Sensor Bracket,CUS-005,2025-05-19,2025-06-02,Standard,28,Completed
JOB-00113,PRD-007,Manifold Block,CUS-004,2025-08-22,2025-08-25,Critical,14,Completed
JOB-00114,PRD-008,Sensor Bracket,CUS-008,2025-09-16,2025-09-30,Rush,7,Completed
JOB-00115,PRD-001,Hydraulic Valve Body,CUS-003,2025-08-01,2025-08-15,Standard,28,Completed
JOB-00116,PRD-008,Sensor Bracket,CUS-007,2024-02-07,2024-02-14,Rush,14,Completed
JOB-00117,PRD-001,Hydraulic Valve Body,CUS-003,2025-09-04,2025-09-18,Standard,7,Completed
JOB-00118,PRD-008,Sensor Bracket,CUS-007,2025-01-07,2025-01-21,Rush,1,Completed
JOB-00119,PRD-006,Bearing Cap,CUS-006,2025-04-11,2025-04-25,Rush,14,Completed
JOB-00120,PRD-007,Manifold Block,CUS-005,2025-08-26,2025-09-09,Standard,7,Completed
JOB-00121,PRD-002,Gear Assembly,CUS-006,2024-03-14,2024-03-28,Rush,70,Completed
JOB-00122,PRD-004,Motor Shaft,CUS-001,2024-02-27,2024-03-05,Rush,2,Completed
JOB-00123,PRD-004,Motor Shaft,CUS-003,2024-01-29,2024-02-12,Standard,2,Completed
JOB-00124,PRD-004,Motor Shaft,CUS-004,2024-06-12,2024-06-26,Rush,28,Completed
JOB-00125,PRD-008,Sensor Bracket,CUS-003,2025-06-11,2025-06-25,Standard,2,Completed
JOB-00126,PRD-002,Gear Assembly,CUS-005,2024-08-21,2024-08-28,Rush,2,Completed
JOB-00127,PRD-002,Gear Assembly,CUS-007,2025-03-21,2025-04-04,Standard,14,Completed
JOB-00128,PRD-007,Manifold Block,CUS-002,2024-10-10,2024-10-13,Critical,28,Completed
JOB-00129,PRD-004,Motor Shaft,CUS-002,2025-03-06,2025-03-20,Rush,2,Completed
JOB-00130,PRD-001,Hydraulic Valve Body,CUS-006,2025-09-04,2025-09-18,Standard,7,Completed
JOB-00131,PRD-002,Gear Assembly,CUS-001,2025-05-02,2025-05-16,Standard,28,Completed
JOB-00132,PRD-007,Manifold Block,CUS-007,2024-05-30,2024-06-02,Critical,70,Completed
JOB-00133,PRD-006,Bearing Cap,CUS-003,2025-10-20,2025-11-03,Standard,14,Completed
JOB-00134,PRD-007,Manifold Block,CUS-008,2025-01-21,2025-02-04,Standard,2,Completed
JOB-00135,PRD-008,Sensor Bracket,CUS-006,2025-01-17,2025-01-31,Rush,1,Completed
JOB-00136,PRD-004,Motor Shaft,CUS-005,2024-05-02,2024-05-09,Rush,2,Completed
JOB-00137,PRD-008,Sensor Bracket,CUS-007,2025-10-27,2025-11-10,Standard,2,Completed
JOB-00138,PRD-006,Bearing Cap,CUS-003,2025-04-09,2025-04-23,Standard,14,Completed
JOB-00139,PRD-008,Sensor Bracket,CUS-006,2025-01-03,2025-01-17,Standard,2,Completed
JOB-00140,PRD-005,Control Panel Frame,CUS-001,2025-01-29,2025-02-01,Critical,14,Completed
JOB-00141,PRD-004,Motor Shaft,CUS-008,2025-08-05,2025-08-19,Rush,14,Completed
JOB-00142,PRD-004,Motor Shaft,CUS-008,2025-12-03,2025-12-10,Rush,14,Completed
JOB-00143,PRD-001,Hydraulic Valve Body,CUS-007,2024-11-12,2024-11-26,Standard,2,Completed
JOB-00144,PRD-004,Motor Shaft,CUS-008,2025-06-11,2025-06-25,Standard,28,Completed
JOB-00145,PRD-006,Bearing Cap,CUS-006,2025-04-17,2025-05-01,Standard,14,Completed
JOB-00146,PRD-008,Sensor Bracket,CUS-004,2024-12-25,2025-01-08,Rush,14,Completed
JOB-00147,PRD-002,Gear Assembly,CUS-002,2025-03-27,2025-04-03,Rush,2,Completed
JOB-00148,PRD-003,Pump Housing,CUS-005,2025-11-24,2025-12-08,Standard,2,Completed
JOB-00149,PRD-005,Control Panel Frame,CUS-005,2024-10-03,2024-10-06,Critical,70,Completed
JOB-00150,PRD-004,Motor Shaft,CUS-001,2025-03-07,2025-03-21,Standard,7,Completed
JOB-00151,PRD-003,Pump Housing,CUS-005,2024-03-18,2024-04-01,Standard,7,Completed
JOB-00152,PRD-003,Pump Housing,CUS-002,2025-12-03,2025-12-10,Rush,7,Completed
JOB-00153,PRD-001,Hydraulic Valve Body,CUS-008,2025-11-03,2025-11-17,Standard,14,Completed
JOB-00154,PRD-008,Sensor Bracket,CUS-005,2024-03-13,2024-03-27,Standard,70,Completed
JOB-00155,PRD-008,Sensor Bracket,CUS-007,2024-04-02,2024-04-16,Standard,7,Completed
JOB-00156,PRD-008,Sensor Bracket,CUS-003,2024-03-15,2024-03-29,Standard,70,Completed
JOB-00157,PRD-003,Pump Housing,CUS-002,2025-03-11,2025-03-14,Critical,1,Completed
JOB-00158,PRD-004,Motor Shaft,CUS-004,2025-08-19,2025-09-02,Standard,14,Completed
JOB-00159,PRD-007,Manifold Block,CUS-005,2025-09-25,2025-10-09,Rush,14,Completed
JOB-00160,PRD-007,Manifold Block,CUS-002,2024-03-26,2024-04-09,Standard,2,Completed
JOB-00161,PRD-004,Motor Shaft,CUS-002,2025-01-13,2025-01-27,Standard,2,Completed
JOB-00162,PRD-003,Pump Housing,CUS-003,2024-04-16,2024-04-30,Standard,7,Completed
JOB-00163,PRD-001,Hydraulic Valve Body,CUS-005,2025-11-04,2025-11-18,Standard,70,Completed
JOB-00164,PRD-001,Hydraulic Valve Body,CUS-008,2025-02-07,2025-02-21,Rush,14,Completed
JOB-00165,PRD-002,Gear Assembly,CUS-004,2025-01-13,2025-01-27,Standard,70,Completed
JOB-00166,PRD-007,Manifold Block,CUS-003,2024-11-18,2024-12-02,Standard,28,Completed
JOB-00167,PRD-005,Control Panel Frame,CUS-001,2024-04-11,2024-04-18,Rush,7,Completed
JOB-00168,PRD-003,Pump Housing,CUS-008,2025-02-17,2025-02-24,Rush,28,Completed
JOB-00169,PRD-002,Gear Assembly,CUS-007,2025-03-11,2025-03-25,Standard,1,Completed
JOB-00170,PRD-005,Control Panel Frame,CUS-008,2025-12-08,2025-12-22,Standard,2,Completed
JOB-00171,PRD-002,Gear Assembly,CUS-006,2025-09-10,2025-09-24,Standard,28,Completed
JOB-00172,PRD-005,Control Panel Frame,CUS-001,2024-11-22,2024-12-06,Rush,28,Completed
JOB-00173,PRD-005,Control Panel Frame,CUS-008,2024-09-06,2024-09-13,Rush,2,Completed
JOB-00174,PRD-008,Sensor Bracket,CUS-007,2024-09-16,2024-09-23,Rush,14,Completed
JOB-00175,PRD-008,Sensor Bracket,CUS-006,2025-11-04,2025-11-07,Critical,14,Completed
JOB-00176,PRD-007,Manifold Block,CUS-003,2024-05-29,2024-06-12,Standard,28,Completed
JOB-00177,PRD-006,Bearing Cap,CUS-005,2025-12-10,2025-12-24,Standard,14,Completed
JOB-00178,PRD-007,Manifold Block,CUS-008,2024-02-21,2024-02-24,Critical,7,Completed
JOB-00179,PRD-002,Gear Assembly,CUS-002,2025-04-08,2025-04-22,Rush,7,Completed
JOB-00180,PRD-007,Manifold Block,CUS-008,2024-01-02,2024-01-05,Critical,7,Completed
JOB-00181,PRD-007,Manifold Block,CUS-008,2025-06-02,2025-06-16,Rush,14,Completed
JOB-00182,PRD-008,Sensor Bracket,CUS-005,2024-10-17,2024-10-31,Rush,28,Completed
JOB-00183,PRD-003,Pump Housing,CUS-008,2025-09-18,2025-09-21,Critical,7,Completed
JOB-00184,PRD-002,Gear Assembly,CUS-003,2024-12-09,2024-12-23,Rush,2,Completed
JOB-00185,PRD-005,Control Panel Frame,CUS-002,2025-08-06,2025-08-13,Rush,2,Completed
JOB-00186,PRD-004,Motor Shaft,CUS-008,2024-06-11,2024-06-14,Critical,14,Completed
JOB-00187,PRD-002,Gear Assembly,CUS-008,2024-08-07,2024-08-21,Standard,28,Completed
JOB-00188,PRD-005,Control Panel Frame,CUS-007,2025-01-24,2025-02-07,Rush,2,Completed
JOB-00189,PRD-008,Sensor Bracket,CUS-008,2024-12-13,2024-12-16,Critical,1,Completed
JOB-00190,PRD-003,Pump Housing,CUS-003,2025-12-29,2026-01-12,Standard,14,Completed
JOB-00191,PRD-002,Gear Assembly,CUS-006,2025-08-15,2025-08-29,Rush,2,Completed
JOB-00192,PRD-005,Control Panel Frame,CUS-005,2025-02-07,2025-02-14,Rush,28,Completed
JOB-00193,PRD-008,Sensor Bracket,CUS-008,2025-10-01,2025-10-08,Rush,7,Completed
JOB-00194,PRD-006,Bearing Cap,CUS-008,2025-06-24,2025-07-08,Standard,2,Completed
JOB-00195,PRD-006,Bearing Cap,CUS-007,2024-12-06,2024-12-13,Rush,70,Completed
JOB-00196,PRD-004,Motor Shaft,CUS-001,2025-08-11,2025-08-18,Rush,2,Completed
JOB-00197,PRD-006,Bearing Cap,CUS-007,2025-06-30,2025-07-14,Rush,7,Completed
JOB-00198,PRD-003,Pump Housing,CUS-003,2024-02-21,2024-03-06,Standard,2,Completed
JOB-00199,PRD-006,Bearing Cap,CUS-002,2025-09-22,2025-09-29,Rush,2,Completed
JOB-00200,PRD-008,Sensor Bracket,CUS-007,2024-07-24,2024-08-07,Standard,1,Completed
JOB-00201,PRD-003,Pump Housing,CUS-006,2025-01-14,2025-01-28,Rush,1,Completed
JOB-00202,PRD-007,Manifold Block,CUS-007,2025-04-15,2025-04-22,Rush,2,Completed
JOB-00203,PRD-006,Bearing Cap,CUS-001,2025-11-28,2025-12-12,Standard,1,Completed
JOB-00204,PRD-002,Gear Assembly,CUS-004,2025-02-14,2025-02-28,Standard,14,Completed
JOB-00205,PRD-002,Gear Assembly,CUS-002,2024-05-20,2024-06-03,Standard,14,Completed
JOB-00206,PRD-008,Sensor Bracket,CUS-001,2025-03-04,2025-03-18,Standard,7,Completed
JOB-00207,PRD-001,Hydraulic Valve Body,CUS-005,2024-03-20,2024-04-03,Standard,7,Completed
JOB-00208,PRD-006,Bearing Cap,CUS-004,2024-07-26,2024-08-09,Standard,14,Completed
JOB-00209,PRD-007,Manifold Block,CUS-003,2024-09-13,2024-09-20,Rush,28,Completed
JOB-00210,PRD-003,Pump Housing,CUS-004,2025-07-01,2025-07-15,Standard,28,Completed
JOB-00211,PRD-008,Sensor Bracket,CUS-004,2024-07-23,2024-07-30,Rush,1,Completed
JOB-00212,PRD-008,Sensor Bracket,CUS-005,2025-10-20,2025-11-03,Standard,2,Completed
JOB-00213,PRD-001,Hydraulic Valve Body,CUS-005,2025-10-28,2025-10-31,Critical,2,Completed
JOB-00214,PRD-003,Pump Housing,CUS-005,2025-05-08,2025-05-22,Rush,2,Completed
JOB-00215,PRD-007,Manifold Block,CUS-005,2025-10-15,2025-10-22,Rush,14,Completed
JOB-00216,PRD-004,Motor Shaft,CUS-002,2025-11-21,2025-11-24,Critical,7,Completed
JOB-00217,PRD-004,Motor Shaft,CUS-005,2025-05-28,2025-06-11,Standard,1,Completed
JOB-00218,PRD-005,Control Panel Frame,CUS-005,2025-07-21,2025-08-04,Standard,7,Completed
JOB-00219,PRD-001,Hydraulic Valve Body,CUS-008,2024-03-11,2024-03-25,Standard,14,Completed
JOB-00220,PRD-005,Control Panel Frame,CUS-006,2024-11-25,2024-12-02,Rush,2,Completed
JOB-00221,PRD-004,Motor Shaft,CUS-003,2024-12-24,2025-01-07,Standard,28,Completed
JOB-00222,PRD-002,Gear Assembly,CUS-005,2024-02-26,2024-02-29,Critical,1,Completed
JOB-00223,PRD-008,Sensor Bracket,CUS-003,2025-06-05,2025-06-19,Rush,70,Completed
JOB-00224,PRD-002,Gear Assembly,CUS-007,2025-04-11,2025-04-14,Critical,1,Completed
JOB-00225,PRD-003,Pump Housing,CUS-005,2025-06-06,2025-06-20,Standard,28,Completed
JOB-00226,PRD-003,Pump Housing,CUS-005,2025-11-20,2025-12-04,Rush,70,Completed
JOB-00227,PRD-006,Bearing Cap,CUS-002,2025-10-31,2025-11-07,Rush,70,Completed
JOB-00228,PRD-003,Pump Housing,CUS-007,2024-11-19,2024-11-26,Rush,28,Completed
JOB-00229,PRD-006,Bearing Cap,CUS-001,2025-07-18,2025-08-01,Standard,28,Completed
JOB-00230,PRD-005,Control Panel Frame,CUS-006,2025-10-13,2025-10-27,Standard,14,Completed
JOB-00231,PRD-005,Control Panel Frame,CUS-002,2025-06-16,2025-06-23,Rush,28,Completed
JOB-00232,PRD-004,Motor Shaft,CUS-004,2025-04-14,2025-04-28,Rush,2,Completed
JOB-00233,PRD-002,Gear Assembly,CUS-005,2025-10-27,2025-11-10,Standard,14,Completed
JOB-00234,PRD-007,Manifold Block,CUS-001,2024-03-05,2024-03-19,Standard,14,Completed
JOB-00235,PRD-005,Control Panel Frame,CUS-002,2024-06-13,2024-06-16,Critical,28,Completed
JOB-00236,PRD-004,Motor Shaft,CUS-007,2024-07-11,2024-07-18,Rush,7,Completed
JOB-00237,PRD-008,Sensor Bracket,CUS-003,2025-08-22,2025-09-05,Rush,7,Completed
JOB-00238,PRD-007,Manifold Block,CUS-007,2025-12-02,2025-12-09,Rush,14,Completed
JOB-00239,PRD-005,Control Panel Frame,CUS-004,2025-06-13,2025-06-27,Standard,7,Completed
JOB-00240,PRD-008,Sensor Bracket,CUS-006,2024-12-03,2024-12-17,Standard,2,Completed
JOB-00241,PRD-002,Gear Assembly,CUS-006,2025-06-10,2025-06-13,Critical,7,Completed
JOB-00242,PRD-001,Hydraulic Valve Body,CUS-002,2024-09-27,2024-10-11,Rush,7,Completed
JOB-00243,PRD-008,Sensor Bracket,CUS-001,2024-10-30,2024-11-13,Standard,2,Completed
JOB-00244,PRD-001,Hydraulic Valve Body,CUS-003,2024-12-13,2024-12-20,Rush,7,Completed
JOB-00245,PRD-004,Motor Shaft,CUS-004,2024-10-23,2024-11-06,Standard,7,Completed
JOB-00246,PRD-004,Motor Shaft,CUS-001,2024-07-30,2024-08-13,Rush,7,Completed
JOB-00247,PRD-005,Control Panel Frame,CUS-003,2024-07-25,2024-07-28,Critical,7,Completed
JOB-00248,PRD-005,Control Panel Frame,CUS-001,2024-06-05,2024-06-12,Rush,14,Completed
JOB-00249,PRD-003,Pump Housing,CUS-006,2024-12-05,2024-12-19,Standard,7,Completed
JOB-00250,PRD-001,Hydraulic Valve Body,CUS-003,2024-03-14,2024-03-28,Rush,70,Completed
JOB-00251,PRD-007,Manifold Block,CUS-008,2024-04-01,2024-04-08,Rush,70,Completed
JOB-00252,PRD-008,Sensor Bracket,CUS-008,2024-06-04,2024-06-18,Standard,7,Completed
JOB-00253,PRD-004,Motor Shaft,CUS-005,2024-03-01,2024-03-04,Critical,7,Completed
JOB-00254,PRD-008,Sensor Bracket,CUS-001,2024-02-13,2024-02-27,Standard,14,Completed
JOB-00255,PRD-008,Sensor Bracket,CUS-002,2025-09-02,2025-09-09,Rush,28,Completed
JOB-00256,PRD-008,Sensor Bracket,CUS-002,2025-09-26,2025-10-10,Standard,14,Completed
JOB-00257,PRD-002,Gear Assembly,CUS-002,2024-07-30,2024-08-13,Rush,28,Completed
JOB-00258,PRD-003,Pump Housing,CUS-007,2025-04-09,2025-04-23,Rush,14,Completed
JOB-00259,PRD-005,Control Panel Frame,CUS-002,2025-09-08,2025-09-22,Standard,14,Completed
JOB-00260,PRD-002,Gear Assembly,CUS-007,2024-11-04,2024-11-11,Rush,7,Completed
JOB-00261,PRD-008,Sensor Bracket,CUS-006,2025-08-14,2025-08-21,Rush,14,Completed
JOB-00262,PRD-008,Sensor Bracket,CUS-006,2024-05-15,2024-05-29,Standard,2,Completed
JOB-00263,PRD-007,Manifold Block,CUS-006,2024-12-31,2025-01-14,Rush,14,Completed
JOB-00264,PRD-003,Pump Housing,CUS-002,2025-11-10,2025-11-17,Rush,28,Completed
JOB-00265,PRD-002,Gear Assembly,CUS-007,2024-05-13,2024-05-20,Rush,2,Completed
JOB-00266,PRD-002,Gear Assembly,CUS-003,2025-06-17,2025-06-24,Rush,14,Completed
JOB-00267,PRD-001,Hydraulic Valve Body,CUS-002,2025-04-16,2025-04-30,Rush,1,Completed
JOB-00268,PRD-007,Manifold Block,CUS-001,2025-08-28,2025-09-11,Standard,14,Completed
JOB-00269,PRD-005,Control Panel Frame,CUS-002,2025-05-19,2025-05-26,Rush,1,Completed
JOB-00270,PRD-004,Motor Shaft,CUS-004,2025-11-20,2025-12-04,Rush,70,Completed
